Dia,Texto Bíblico
18 de Março,Juízes 1-3
19 de Março,Juízes 4-6
20 de Março,Juízes 7-9
21 de Março,Juízes 10-12
22 de Março,Juízes 13-16
23 de Março,Juízes 17-21
24 de Março,Rute 1-4
25 de Março,I Samuel 1-3
26 de Março,I Samuel 4-8
27 de Março,I Samuel 9-12
28 de Março,I Samuel 13-14
29 de Março,I Samuel 15-17
30 de Março,I Samuel 18-20
31 de Março,I Samuel 21-24
1 de Abril,I Samuel 25-27
2 de Abril,I Samuel 28-31
3 de Abril,II Samuel 1-3
4 de Abril,II Samuel 4-7
5 de Abril,II Samuel 8-11
6 de Abril,II Samuel 12-13
7 de Abril,II Samuel 14-16
8 de Abril,II Samuel 17-19
9 de Abril,II Samuel 20-22
10 de Abril,II Samuel 23-24
11 de Abril,I Reis 1-2
12 de Abril,I Reis 3-5
13 de Abril,I Reis 6-7
14 de Abril,I Reis 8-9
15 de Abril,I Reis 10-11
16 de Abril,I Reis 12-14
17 de Abril,I Reis 15-17
18 de Abril,I Reis 18-20
19 de Abril,I Reis 21-22
20 de Abril,II Reis 1-3
21 de Abril,II Reis 4-5
22 de Abril,II Reis 6-8
23 de Abril,II Reis 9-11
24 de Abril,II Reis 12-14
25 de Abril,II Reis 15-17
26 de Abril,II Reis 18-19
27 de Abril,II Reis 20-22
28 de Abril,II Reis 23-25
29 de Abril,I Crônicas 1-2
30 de Abril,I Crônicas 3-5
1 de Maio,I Crônicas 6
2 de Maio,I Crônicas 7-8
3 de Maio,I Crônicas 9-11
4 de Maio,I Crônicas 12-14
5 de Maio,I Crônicas 15-17
6 de Maio,I Crônicas 18-21
7 de Maio,I Crônicas 22-24
8 de Maio,I Crônicas 25-27
9 de Maio,I Crônicas 28-29
10 de Maio,II Crônicas 1-4
11 de Maio,II Crônicas 5-8
12 de Maio,II Crônicas 9-12
13 de Maio,II Crônicas 13-16
14 de Maio,II Crônicas 17-20
15 de Maio,II Crônicas 21-24
16 de Maio,II Crônicas 25-27
17 de Maio,II Crônicas 28-31
18 de Maio,II Crônicas 32-34
19 de Maio,II Crônicas 35-36
20 de Maio,Esdras 1-4
21 de Maio,Esdras 5-7
22 de Maio,Esdras 8-10
23 de Maio,Neemias 1-3
24 de Maio,Neemias 4-6
25 de Maio,Neemias 7-9
26 de Maio,Neemias 10-11
27 de Maio,Neemias 12-13
28 de Maio,Ester 1-5
29 de Maio,Ester 6-10
30 de Maio,Jó 1-4
31 de Maio,Jó 5-7
1 de Junho,Jó 8-10
2 de Junho,Jó 11-14
3 de Junho,Jó 15-17
4 de Junho,Jó 18-19
5 de Junho,Jó 20-21
6 de Junho,Jó 22-24
7 de Junho,Jó 25-28
8 de Junho,Jó 29-31
9 de Junho,Jó 32-34
10 de Junho,Jó 35-37
11 de Junho,Jó 38-39
12 de Junho,Jó 40-42
13 de Junho,Salmos 1-8
14 de Junho,Salmos 9-16
15 de Junho,Salmos 17-20
16 de Junho,Salmos 21-25
17 de Junho,Salmos 26-31
18 de Junho,Salmos 32-35
19 de Junho,Salmos 36-39
20 de Junho,Salmos 40-45
21 de Junho,Salmos 46-50
22 de Junho,Salmos 51-57
23 de Junho,Salmos 58-65
24 de Junho,Salmos 66-69
25 de Junho,Salmos 70-73
26 de Junho,Salmos 74-77
27 de Junho,Salmos 78-79
28 de Junho,Salmos 80-85
29 de Junho,Salmos 86-89
30 de Junho,Salmos 90-95
1 de Julho,Salmos 96-102
2 de Julho,Salmos 103-105
3 de Julho,Salmos 106-107
4 de Julho,Salmos 108-114
5 de Julho,Salmos 115-118
6 de Julho,Salmos 119:1-88
7 de Julho,Salmos 119:89-176
8 de Julho,Salmos 120-132
9 de Julho,Salmos 133-139
10 de Julho,Salmos 140-145
11 de Julho,Salmos 146-150
12 de Julho,Provérbios 1-3
13 de Julho,Provérbios 4-6
14 de Julho,Provérbios 7-9
15 de Julho,Provérbios 10-12
16 de Julho,Provérbios 13-15
17 de Julho,Provérbios 16-18
18 de Julho,Provérbios 19-21
19 de Julho,Provérbios 22-23
20 de Julho,Provérbios 24-26
21 de Julho,Provérbios 27-29
22 de Julho,Provérbios 30-31
23 de Julho,Eclesiastes 1-4
24 de Julho,Eclesiastes 5-8
25 de Julho,Eclesiastes 9-12
26 de Julho,Cantares 1-4
27 de Julho,Cantares 5-8
28 de Julho,Isaías 1-4
29 de Julho,Isaías 5-8
30 de Julho,Isaías 9-12
31 de Julho,Isaías 13-17
1 de Agosto,Isaías 18-22
2 de Agosto,Isaías 23-27
3 de Agosto,Isaías 28-30
4 de Agosto,Isaías 31-35
5 de Agosto,Isaías 36-41
6 de Agosto,Isaías 42-44
7 de Agosto,Isaías 45-48
8 de Agosto,Isaías 49-53
9 de Agosto,Isaías 54-58
10 de Agosto,Isaías 59-63
11 de Agosto,Isaías 64-66
12 de Agosto,Jeremias 1-3
13 de Agosto,Jeremias 4-6
14 de Agosto,Jeremias 7-9
15 de Agosto,Jeremias 10-13
16 de Agosto,Jeremias 14-17
17 de Agosto,Jeremias 18-22
18 de Agosto,Jeremias 23-25
19 de Agosto,Jeremias 26-29
20 de Agosto,Jeremias 30-31
21 de Agosto,Jeremias 32-34
22 de Agosto,Jeremias 35-37
23 de Agosto,Jeremias 38-41
24 de Agosto,Jeremias 42-45
25 de Agosto,Jeremias 46-48
26 de Agosto,Jeremias 49-50
27 de Agosto,Jeremias 51-52
28 de Agosto,Lamentações 1-2
29 de Agosto,Lamentações 3-5
30 de Agosto,Ezequiel 1-4
31 de Agosto,Ezequiel 5-8
1 de Setembro,Ezequiel 9-12
2 de Setembro,Ezequiel 13-15
3 de Setembro,Ezequiel 16
4 de Setembro,Ezequiel 17-19
5 de Setembro,Ezequiel 20-21
6 de Setembro,Ezequiel 22-23
7 de Setembro,Ezequiel 24-26
8 de Setembro,Ezequiel 27-28
9 de Setembro,Ezequiel 29-31
10 de Setembro,Ezequiel 32-33
11 de Setembro,Ezequiel 34-36
12 de Setembro,Ezequiel 37-38
13 de Setembro,Ezequiel 39-40
14 de Setembro,Ezequiel 41-43
15 de Setembro,Ezequiel 44-46
16 de Setembro,Ezequiel 47-48
17 de Setembro,Daniel 1-3
18 de Setembro,Daniel 4-6
19 de Setembro,Daniel 7-9
20 de Setembro,Daniel 10-12
21 de Setembro,Oséias 1-7
22 de Setembro,Oséias 8-14
23 de Setembro,Joel 1-3
24 de Setembro,Amós 1-5
25 de Setembro,Amós 6-9
26 de Setembro,Obadias / Jonas 1-4
27 de Setembro,Miquéias 1-7
28 de Setembro,Naum 1-3
29 de Setembro,Habacuque 1-3
30 de Setembro,Sofonias 1-3
1 de Outubro,Ageu 1-2
2 de Outubro,Zacarias 1-5
3 de Outubro,Zacarias 6-10
4 de Outubro,Zacarias 11-14
5 de Outubro,Malaquias 1-4
6 de Outubro,Mateus 1-4
7 de Outubro,Mateus 5-6
8 de Outubro,Mateus 7-9
9 de Outubro,Mateus 10-12
10 de Outubro,Mateus 13-14
11 de Outubro,Mateus 15-17
12 de Outubro,Mateus 18-20
13 de Outubro,Mateus 21-22
14 de Outubro,Mateus 23-24
15 de Outubro,Mateus 25-26
16 de Outubro,Mateus 27-28
17 de Outubro,Marcos 1-3
18 de Outubro,Marcos 4-5
19 de Outubro,Marcos 6-7
20 de Outubro,Marcos 8-9
21 de Outubro,Marcos 10-11
22 de Outubro,Marcos 12-13
23 de Outubro,Marcos 14
24 de Outubro,Marcos 15-16
25 de Outubro,Lucas 1-2
26 de Outubro,Lucas 3-4
27 de Outubro,Lucas 5-6
28 de Outubro,Lucas 7-8
29 de Outubro,Lucas 9-10
30 de Outubro,Lucas 11-12
31 de Outubro,Lucas 13-15
1 de Novembro,Lucas 16-18
2 de Novembro,Lucas 19-20
3 de Novembro,Lucas 21-22
4 de Novembro,Lucas 23-24
5 de Novembro,João 1-2
6 de Novembro,João 3-4
7 de Novembro,João 5-6
8 de Novembro,João 7-8
9 de Novembro,João 9-10
10 de Novembro,João 11-12
11 de Novembro,João 13-15
12 de Novembro,João 16-18
13 de Novembro,João 19-21
14 de Novembro,Atos 1-3
15 de Novembro,Atos 4-6
16 de Novembro,Atos 7-8
17 de Novembro,Atos 9-10
18 de Novembro,Atos 11-13
19 de Novembro,Atos 14-16
20 de Novembro,Atos 17-19
21 de Novembro,Atos 20-22
22 de Novembro,Atos 23-25
23 de Novembro,Atos 26-28
24 de Novembro,Romanos 1-3
25 de Novembro,Romanos 4-7
26 de Novembro,Romanos 8-10
27 de Novembro,Romanos 11-13
28 de Novembro,Romanos 14-16
29 de Novembro,I Coríntios 1-4
30 de Novembro,I Coríntios 5-8
1 de Dezembro,I Coríntios 9-11
2 de Dezembro,I Coríntios 12-14
3 de Dezembro,I Coríntios 15-16
4 de Dezembro,II Coríntios 1-4
5 de Dezembro,II Coríntios 5-9
6 de Dezembro,II Coríntios 10-13
7 de Dezembro,Gálatas 1-3
8 de Dezembro,Gálatas 4-6
9 de Dezembro,Efésios 1-3
10 de Dezembro,Efésios 4-6
11 de Dezembro,Filipenses 1-4
12 de Dezembro,Colossenses 1-4
13 de Dezembro,I Tessalonicenses 1-5
14 de Dezembro,II Tessalonicenses 1-3
15 de Dezembro,I Timóteo 1-6
16 de Dezembro,II Timóteo 1-4
17 de Dezembro,Tito / Filemon
18 de Dezembro,Hebreus 1-4
19 de Dezembro,Hebreus 5-8
20 de Dezembro,Hebreus 9-10
21 de Dezembro,Hebreus 11-13
22 de Dezembro,Tiago 1-5
23 de Dezembro,I Pedro 1-5
24 de Dezembro,II Pedro 1-3
25 de Dezembro,I João 1-5
26 de Dezembro,II João / III João / Judas
27 de Dezembro,Apocalipse 1-3
28 de Dezembro,Apocalipse 4-7
29 de Dezembro,Apocalipse 8-12
30 de Dezembro,Apocalipse 13-17
31 de Dezembro,Apocalipse 18-22
